index	frame_id	xray_file_base_name	photo_file_name	specimen_position_in_frame	field_id	individual_id	xray_preprocessor_name	xray_preprocessed	xray_cropped_individual	photo_processor_name	is_photo_rearranged_relative_to_xray	photo_cropped-scaled	landmarks_registering_photo_to_xray	photo_warped	xray_postprocessor_name	xray_accentuated-edges	xray_accentuated-skeleton	xray_overalayed_accentuated-edges-skeleton	xray_overlayed_on_warped_photo	notes_file_processing
78	20	sde_xray_020	20241211_151552.jpg	2	NA	Sde-AMat_077	Chris Bird	sde_xray_020_bckgrnd-despeck-inv-scaled.tif	sde_xray_020-2_Sde-AMat_077.tif	Myron Baring										
79	20	sde_xray_020	20241211_151552.jpg	3	Sde-C-0115-E	Sde-CMat_111	Chris Bird	sde_xray_020_bckgrnd-despeck-inv-scaled.tif	sde_xray_020-3_Sde-CMat_111.tif	Myron Baring										
80	20	sde_xray_020	20241211_151552.jpg	4	NA	Sde-AMat_081	Chris Bird	sde_xray_020_bckgrnd-despeck-inv-scaled.tif	sde_xray_020-4_Sde-AMat_081.tif	Myron Baring										
81	21	sde_xray_021	20241211_152054.jpg	1	Sde-C-0103-E	Sde-CMat_099	Chris Bird	sde_xray_021_bckgrnd-despeck-inv-scaled.tif												
82	21	sde_xray_021	20241211_152054.jpg	2	NA	Sde-AMat_071	Chris Bird	sde_xray_021_bckgrnd-despeck-inv-scaled.tif												
83	21	sde_xray_021	20241211_152054.jpg	3	Sde-C-0116-E	Sde-CMat_112	Chris Bird	sde_xray_021_bckgrnd-despeck-inv-scaled.tif												
84	21	sde_xray_021	20241211_152054.jpg	4	NA	Sde-AMat_060	Chris Bird	sde_xray_021_bckgrnd-despeck-inv-scaled.tif												
85	22	sde_xray_022	20241211_152521.jpg	1	Sde-C-0106-E	Sde-CMat_102	Chris Bird	sde_xray_022_bckgrnd-despeck-inv-scaled.tif												
86	22	sde_xray_022	20241211_152521.jpg	2	NA	Sde-AMat_056	Chris Bird	sde_xray_022_bckgrnd-despeck-inv-scaled.tif												
87	22	sde_xray_022	20241211_152521.jpg	3	Sde-C-0119-E	Sde-CMat_115	Chris Bird	sde_xray_022_bckgrnd-despeck-inv-scaled.tif												
88	22	sde_xray_022	20241211_152521.jpg	4	NA	Sde-AMat_055	Chris Bird	sde_xray_022_bckgrnd-despeck-inv-scaled.tif												
89	23	sde_xray_023	20241211_153011.jpg	1	Sde-C-0118-E	Sde-CMat_114	Chris Bird	sde_xray_023_bckgrnd-despeck-inv-scaled.tif												
90	23	sde_xray_023	20241211_153011.jpg	2	NA	Sde-AMat_058	Chris Bird	sde_xray_023_bckgrnd-despeck-inv-scaled.tif												
91	23	sde_xray_023	20241211_153011.jpg	3	Sde-C-0145-E	Sde-CMat_141	Chris Bird	sde_xray_023_bckgrnd-despeck-inv-scaled.tif												
92	23	sde_xray_023	20241211_153011.jpg	4	NA	Sde-AMat_057	Chris Bird	sde_xray_023_bckgrnd-despeck-inv-scaled.tif												
93	24	sde_xray_024	20241211_153446.jpg	1	Sde-C-0134-E	Sde-CMat_130	Chris Bird	sde_xray_024_bckgrnd-despeck-inv-scaled.tif												
94	24	sde_xray_024	20241211_153446.jpg	2	NA	Sde-AMat_059	Chris Bird	sde_xray_024_bckgrnd-despeck-inv-scaled.tif												
95	24	sde_xray_024	20241211_153446.jpg	3	Sde-C-0133-E	Sde-CMat_129	Chris Bird	sde_xray_024_bckgrnd-despeck-inv-scaled.tif												
96	24	sde_xray_024	20241211_153446.jpg	4	NA	Sde-AMat_072	Chris Bird	sde_xray_024_bckgrnd-despeck-inv-scaled.tif												
97	25	sde_xray_025	20241211_154232.jpg	1	Sde-C-0124-E	Sde-CMat_120	Chris Bird	sde_xray_025_bckgrnd-despeck-inv-scaled.tif												
98	25	sde_xray_025	20241211_154232.jpg	2	NA	Sde-AMat_004	Chris Bird	sde_xray_025_bckgrnd-despeck-inv-scaled.tif												
99	25	sde_xray_025	20241211_154232.jpg	3	Sde-C-0146-E	Sde-CMat_142	Chris Bird	sde_xray_025_bckgrnd-despeck-inv-scaled.tif												
100	25	sde_xray_025	20241211_154232.jpg	4	NA	Sde-AMat_036	Chris Bird	sde_xray_025_bckgrnd-despeck-inv-scaled.tif												
101	26	sde_xray_026	20241211_155102.jpg	1	Sde-C-0204-E	Sde-CMat_200	Chris Bird	sde_xray_026_bckgrnd-despeck-inv-scaled.tif												
102	26	sde_xray_026	20241211_155102.jpg	2	NA	Sde-AMat_018	Chris Bird	sde_xray_026_bckgrnd-despeck-inv-scaled.tif												
103	26	sde_xray_026	20241211_155102.jpg	3	Sde-C-0175-E	Sde-CMat_171	Chris Bird	sde_xray_026_bckgrnd-despeck-inv-scaled.tif												
104	26	sde_xray_026	20241211_155102.jpg	4	NA	Sde-AMat_040	Chris Bird	sde_xray_026_bckgrnd-despeck-inv-scaled.tif												
105	27	sde_xray_027	20241211_155704.jpg	1	Sde-C-0171-E	Sde-CMat_167	Chris Bird	sde_xray_027_bckgrnd-despeck-inv-scaled.tif												
106	27	sde_xray_027	20241211_155704.jpg	2	NA	Sde-AMat_037	Chris Bird	sde_xray_027_bckgrnd-despeck-inv-scaled.tif												
107	27	sde_xray_027	20241211_155704.jpg	3	Sde-C-0197-E	Sde-CMat_193	Chris Bird	sde_xray_027_bckgrnd-despeck-inv-scaled.tif												
108	27	sde_xray_027	20241211_155704.jpg	4	NA	Sde-AMat_032	Chris Bird	sde_xray_027_bckgrnd-despeck-inv-scaled.tif												
109	28	sde_xray_028	20241211_160354.jpg	1	Sde-C-0161-E	Sde-CMat_157	Chris Bird	sde_xray_028_bckgrnd-despeck-inv-scaled.tif												
110	28	sde_xray_028	20241211_160354.jpg	2	NA	Sde-AMat_030	Chris Bird	sde_xray_028_bckgrnd-despeck-inv-scaled.tif												
111	28	sde_xray_028	20241211_160354.jpg	3	Sde-C-0195-E	Sde-CMat_191	Chris Bird	sde_xray_028_bckgrnd-despeck-inv-scaled.tif												
112	28	sde_xray_028	20241211_160354.jpg	4	NA	Sde-AMat_003	Chris Bird	sde_xray_028_bckgrnd-despeck-inv-scaled.tif												
113	29	sde_xray_029	20241211_161133.jpg	1	Sde-C-0202-E	Sde-CMat_198	Chris Bird	sde_xray_029_bckgrnd-despeck-inv-scaled.tif												
114	29	sde_xray_029	20241211_161133.jpg	2	NA	Sde-AMat_023	Chris Bird	sde_xray_029_bckgrnd-despeck-inv-scaled.tif												
115	29	sde_xray_029	20241211_161133.jpg	3	Sde-C-0184-E	Sde-CMat_180	Chris Bird	sde_xray_029_bckgrnd-despeck-inv-scaled.tif												
116	29	sde_xray_029	20241211_161133.jpg	4	NA	Sde-AMat_007	Chris Bird	sde_xray_029_bckgrnd-despeck-inv-scaled.tif												
117	30	sde_xray_030	20241211_161646.jpg	1	Sde-C-0170-E	Sde-CMat_166	Chris Bird	sde_xray_030_bckgrnd-despeck-inv-scaled.tif												
118	30	sde_xray_030	20241211_161646.jpg	2	NA	Sde-AMat_024	Chris Bird	sde_xray_030_bckgrnd-despeck-inv-scaled.tif												
119	30	sde_xray_030	20241211_161646.jpg	3	Sde-C-0172-E	Sde-CMat_168	Chris Bird	sde_xray_030_bckgrnd-despeck-inv-scaled.tif												
120	30	sde_xray_030	20241211_161646.jpg	4	NA	Sde-AMat_039	Chris Bird	sde_xray_030_bckgrnd-despeck-inv-scaled.tif												
121	31	sde_xray_031	20241211_162529.jpg	1	Sde-C-0201-E	Sde-CMat_197	Chris Bird	sde_xray_031_bckgrnd-despeck-inv-scaled.tif												
122	31	sde_xray_031	20241211_162529.jpg	2	NA	Sde-AMat_046	Chris Bird	sde_xray_031_bckgrnd-despeck-inv-scaled.tif												
123	31	sde_xray_031	20241211_162529.jpg	3	Sde-C-0203-E	Sde-CMat_199	Chris Bird	sde_xray_031_bckgrnd-despeck-inv-scaled.tif												
124	31	sde_xray_031	20241211_162529.jpg	4	NA	Sde-AMat_006	Chris Bird	sde_xray_031_bckgrnd-despeck-inv-scaled.tif												
125	32	sde_xray_032	20241211_163134.jpg	1	Sde-C-0183-E	Sde-CMat_179	Chris Bird	sde_xray_032_bckgrnd-despeck-inv-scaled.tif												
126	32	sde_xray_032	20241211_163134.jpg	2	NA	Sde-AMat_013	Chris Bird	sde_xray_032_bckgrnd-despeck-inv-scaled.tif												
127	32	sde_xray_032	20241211_163134.jpg	3	Sde-C-0198-E	Sde-CMat_194	Chris Bird	sde_xray_032_bckgrnd-despeck-inv-scaled.tif												
128	32	sde_xray_032	20241211_163134.jpg	4	NA	Sde-AMat_025	Chris Bird	sde_xray_032_bckgrnd-despeck-inv-scaled.tif												
